PHRASAL VERBS;;;;;
english;;;espanol;;
verb;meaning;example;verbo;significado;ejemplo
take up;;;empezar / ocupar;empezar una actividad / ocupar espacio;
branches off;;he was deprived of his youth;cambiar direccion;ir en otra direccion;
drop off;;I was sitting and I dropped off;llevar / caer;llevar a alguien a un sitio / caer rendido;
mark down;;;puntuar bajo;dar un resultado más bajo en un examen;
cope with;;;capear con éxito;Tener éxito haciendo algo;
